iter	RMSE
138	5.086890661
139	5.084170643
140	5.077909643
141	5.071459206
142	5.065833725
143	5.059588184
144	5.052414124
145	5.047643261
146	5.0422573
147	5.038465869
148	5.032184768
149	5.027040351
150	5.022258197
151	5.017140259
152	5.014265473
153	5.009302192
154	5.004167372
155	4.995598518
156	4.99133911
157	4.982770637
158	4.978622036
159	4.973716651
160	4.971845872
161	4.96387495
162	4.959808478
163	4.956206407
164	4.948577917
165	4.943971043
166	4.940659717
167	4.933369308
168	4.926575075
169	4.920204155
170	4.914029361
171	4.911434211
172	4.906811648
173	4.902549355
174	4.895031802
175	4.888928104
176	4.884305053
177	4.880636072
178	4.875670188
179	4.868245678
180	4.861983306
181	4.854914547
182	4.848860889
183	4.84611776
184	4.843969208
185	4.835974391
186	4.831194958
187	4.828174844
188	4.825181046
189	4.82192561
190	4.817159602
191	4.813919272
192	4.808791334
193	4.801704652
194	4.797206363
195	4.790731156
196	4.786485856
197	4.781770946
198	4.77849514
199	4.770323352
200	4.76638174
201	4.762193282
202	4.757178965
203	4.751887157
204	4.746969675
205	4.741333918
206	4.737839145
207	4.730730624
208	4.726400233
209	4.720437642
210	4.715282781
211	4.711427139
212	4.706809723
213	4.703914045
214	4.700360498
215	4.697001051
216	4.693048151
217	4.690234248
218	4.686458869
219	4.68136687
220	4.671906581
221	4.669568858
222	4.663643761
223	4.661844014
224	4.654168242
225	4.649218509
226	4.648436717
227	4.643744333
228	4.634928629
229	4.626811513
230	4.620929533
231	4.617385192
232	4.61556225
233	4.612010738
234	4.603725685
235	4.600849429
236	4.596541001
237	4.592255953
238	4.586755482
239	4.578821338
240	4.573474178
241	4.568872427
242	4.565589636
243	4.561501917
244	4.557178542
245	4.551283108
246	4.550817102
247	4.544349485
248	4.536795243
249	4.532558363
250	4.52652679
251	4.523801135
252	4.520514507
253	4.515009815
254	4.511260829
255	4.505077913
256	4.499520422
257	4.494704271
258	4.488305928
259	4.485738594
260	4.482096812
261	4.479039914
262	4.478742719
263	4.471631273
264	4.468354101
265	4.461255478
266	4.456581525
267	4.451035857
268	4.445703036
269	4.441859733
270	4.435872297
271	4.431839611
272	4.4253802
273	4.422612195
274	4.420004079
275	4.415052978
276	4.409825003
277	4.4051816
278	4.401443367
279	4.398108515
280	4.395080014
281	4.392593147
282	4.386793211
283	4.382241157
284	4.375378699
285	4.372309851
286	4.368350558
287	4.364031951
288	4.359958186
289	4.354608064
290	4.347371765
291	4.34094469
292	4.337411812
293	4.332757894
294	4.331442726
295	4.32673079
296	4.326248919
297	4.323261572
298	4.320919753
299	4.316628854
300	4.312550876
301	4.311327467
302	4.306671265
303	4.300425756
304	4.297218809
305	4.291916649
306	4.288371877
307	4.285738946
308	4.282078483
309	4.277688583
310	4.273256339
311	4.271188421
312	4.26521172
313	4.259936998
314	4.259579281
315	4.257542665
316	4.253326029
317	4.250616244
318	4.247868482
319	4.242356948
320	4.242025428
321	4.239762491
322	4.239442282
323	4.23622586
324	4.232252308
325	4.227547879
326	4.219367623
327	4.213910758
328	4.213599669
329	4.210107912
330	4.207166032
331	4.204822085
332	4.199856068
333	4.197340433
334	4.192115865
335	4.188748157
336	4.186217255
337	4.184091854
338	4.180049198
339	4.177985633
340	4.175254775
341	4.172212253
342	4.167769575
343	4.167482576
344	4.165536599
345	4.161454924
346	4.161100494
347	4.157788789
348	4.152395981
349	4.149448362
350	4.146268239
351	4.142764816
352	4.139708338
353	4.13395417
354	4.131054636
355	4.128807918
356	4.124435455
357	4.121308383
358	4.121033017
359	4.120678248
360	4.118572765
361	4.114325958
362	4.111846984
363	4.110130712
364	4.10393825
365	4.098899056
366	4.095450872
367	4.095174953
368	4.092080026
369	4.089608544
370	4.087047737
371	4.086179509
372	4.084105437
373	4.081712217
374	4.07692539
375	4.074990166
376	4.071746702
377	4.065816322
378	4.060333749
379	4.056406943
380	4.051677247
381	4.047596587
382	4.042518446
383	4.037055507
384	4.033494934
385	4.027245102
386	4.02700279
387	4.023247707
388	4.021090025
389	4.018024797
390	4.016244859
391	4.013224496
392	4.010455808
393	4.005780661
394	4.001818753
395	3.999437139
396	3.99692738
397	3.993455059
398	3.988637549
399	3.984759581
400	3.979856636
401	3.978030215
402	3.974196817
403	3.972018754
404	3.970417408
405	3.967227635
406	3.963907565
407	3.959678743
408	3.955651668
409	3.953598116
410	3.951592597
411	3.948545936
412	3.944450168
413	3.944211352
414	3.941212508
415	3.939494109
416	3.936247569
417	3.932417991
418	3.929429108
419	3.923253428
420	3.922809254
421	3.919806323
422	3.91644374
423	3.911311444
424	3.904841677
425	3.90269364
426	3.897997403
427	3.895858396
428	3.891366653
429	3.890809798
430	3.88661757
431	3.881781709
432	3.875767493
433	3.872865518
434	3.870771883
435	3.86806458
436	3.86379657
437	3.860776014
438	3.853893219
439	3.853676704
440	3.85158399
441	3.847954904
442	3.842240806
443	3.839182011
444	3.835315053
445	3.831828143
446	3.830454413
447	3.826989658
448	3.824671819
449	3.824443409
450	3.82226195
451	3.818316436
452	3.816746674
453	3.813974148
454	3.811977352
455	3.806615212
456	3.80405105
457	3.801403558
458	3.795307882
459	3.791681905
460	3.787281796
461	3.786564383
462	3.785018121
463	3.782147228
464	3.781315779
465	3.778928279
466	3.776482452
467	3.774428161
468	3.774186095
469	3.769882891
470	3.766565371
471	3.76180754
472	3.759395616
473	3.757361072
474	3.753139636
475	3.749193011
476	3.745610862
477	3.744826533
478	3.743623998
479	3.740110642
480	3.737724661
481	3.734125216
482	3.731352339
483	3.729386906
484	3.725873714
485	3.721987984
486	3.718935831
487	3.717213919
488	3.715090613
489	3.714866791
490	3.713000863
491	3.709779103
492	3.708644407
493	3.708444543
494	3.705899942
495	3.700615542
496	3.700312904
497	3.700102288
498	3.697326732
499	3.694975721
500	3.693075057
501	3.69179128
502	3.689493475
503	3.688016456
504	3.684912148
505	3.682628933
506	3.678099184
507	3.67593503
508	3.674362484
509	3.672022778
510	3.669059172
511	3.663068466
512	3.661921153
513	3.656553004
514	3.65606762
515	3.652039879
516	3.649677588
517	3.645825502
518	3.642609385
519	3.637633075
520	3.636755168
521	3.635361475
522	3.632236684
523	3.628928867
524	3.624637486
525	3.620994127
526	3.617773235
527	3.612949972
528	3.610490987
529	3.608050866
530	3.606094048
531	3.604140632
532	3.602311555
533	3.598580564
534	3.595826466
535	3.593716875
536	3.592146891
537	3.589594078
538	3.58816431
539	3.586971245
540	3.586456521
541	3.584518243
542	3.579403382
543	3.576774087
544	3.575023981
545	3.572945641
546	3.569235213
547	3.566679363
548	3.564714796
549	3.559903316
550	3.557683374
551	3.555445697
552	3.553295061
553	3.552590286
554	3.54992595
555	3.548703988
556	3.547474534
557	3.545004433
558	3.541966016
559	3.539910599
560	3.536332187
561	3.532448661
562	3.532264195
563	3.529437086
564	3.527021083
565	3.522416416
566	3.517548718
567	3.513020136
568	3.511027849
569	3.510158112
570	3.509488446
571	3.504152472
572	3.500614306
573	3.500268874
574	3.495267679
575	3.492471555
576	3.487610623
577	3.486364456
578	3.484360733
579	3.48149417
580	3.479296049
581	3.477874058
582	3.477698026
583	3.475081669
584	3.472678111
585	3.471962827
586	3.469654969
587	3.466853812
588	3.463759689
589	3.463561039
590	3.460712658
591	3.460310662
592	3.459857272
593	3.457225021
594	3.455039372
595	3.452936812
596	3.450696995
597	3.449005499
598	3.446350324
599	3.444666786
600	3.442840361
601	3.440865946
602	3.438676576
603	3.436234956
604	3.433047965
605	3.432870705
606	3.430656432
607	3.428090997
608	3.425194531
609	3.421217242
610	3.419716659
611	3.418573517
612	3.416935622
613	3.414548581
614	3.412767423
615	3.410683668
616	3.409632605
617	3.407179312
618	3.40512397
619	3.404182096
620	3.403417535
621	3.401089643
622	3.398331251
623	3.395619147
624	3.389100984
625	3.385641906
626	3.381764835
627	3.381122706
628	3.379729638
629	3.378568526
630	3.37588095
631	3.37415622
632	3.373311619
633	3.371379544
634	3.368148596
635	3.367201342
636	3.367138744
637	3.36527438
638	3.364261072
639	3.360290846
640	3.360118342
641	3.358418459
642	3.356482423
643	3.354124972
644	3.3527629
645	3.348851576
646	3.347295892
647	3.346066127
648	3.344559994
649	3.34071927
650	3.336764521
651	3.333336067
652	3.329461043
653	3.327629797
654	3.326904613
655	3.324038797
656	3.321862738
657	3.319856395
658	3.317387558
659	3.316180646
660	3.31494465
661	3.313575037
662	3.312541244
663	3.308852008
664	3.306699406
665	3.306218365
666	3.304557615
667	3.30406058
668	3.301626317
669	3.299961974
670	3.296358162
671	3.293288151
672	3.29176548
673	3.289565895
674	3.288484918
675	3.287848504
676	3.287495371
677	3.283589071
678	3.282998445
679	3.279778453
680	3.278503152
681	3.278283598
682	3.278226771
683	3.275838338
684	3.272992947
685	3.271560702
686	3.271135389
687	3.270945033
688	3.269329375
689	3.265359138
690	3.264097405
691	3.262427465
692	3.2616782
693	3.26130399
694	3.259939677
695	3.259228732
696	3.256817037
697	3.254149074
698	3.251044201
699	3.25090563
700	3.249395966
701	3.247718256
702	3.24588973
703	3.244047773
704	3.241537866
705	3.239874502
706	3.239738032
707	3.237443013
708	3.235158577
709	3.234160457
710	3.230712891
711	3.228765522
712	3.227667866
713	3.226340513
714	3.22344284
715	3.222944666
716	3.220787116
717	3.217498693
718	3.213768518
719	3.210068385
720	3.20900835
721	3.205859013
722	3.204843428
723	3.201229395
724	3.197092242
725	3.195162092
726	3.190764873
727	3.18904867
728	3.18505652
729	3.18162186
730	3.181497575
731	3.179017997
732	3.175826229
733	3.173357065
734	3.172177399
735	3.169495721
736	3.166201857
737	3.163430519
738	3.161997806
739	3.158996965
740	3.15709713
741	3.154945224
742	3.151833606
743	3.147729545
744	3.144586253
745	3.142105963
746	3.140182177
747	3.138894973
748	3.135684003
749	3.134719543
750	3.133277011
751	3.133065295
752	3.130358072
753	3.13012295
754	3.127467747
755	3.126717767
756	3.12335397
757	3.119886073
758	3.117121396
759	3.11551425
760	3.114145114
761	3.110664694
762	3.109262684
763	3.105847209
764	3.104496107
765	3.101314757
766	3.099363399
767	3.097007586
768	3.096219217
769	3.093739601
770	3.091010598
771	3.089589153
772	3.089349756
773	3.087068597
774	3.085011614
775	3.084185805
776	3.08162595
777	3.080007566
778	3.078271124
779	3.077927123
780	3.076774818
781	3.074828767
782	3.073620651
783	3.072648301
784	3.069752436
785	3.068423812
786	3.066525788
787	3.065201471
788	3.064861248
789	3.062269116
790	3.05983258
791	3.059434639
792	3.057510406
793	3.054910325
794	3.052673528
795	3.051386092
796	3.04866767
797	3.048408232
798	3.045636576
799	3.044315291
800	3.04281038
801	3.042624599
802	3.042037087
803	3.040243165
804	3.037895722
805	3.036518437
806	3.035540218
807	3.034270592
808	3.034156363
809	3.031860437
810	3.031163343
811	3.03100522
812	3.027457145
813	3.026100423
814	3.026004956
815	3.025894303
816	3.025501107
817	3.025002253
818	3.021479837
819	3.020254681
820	3.018201116
821	3.018100192
822	3.015972067
823	3.014535068
824	3.013624613
825	3.01143576
826	3.010531839
827	3.008448749
828	3.008384316
829	3.008042161
830	3.006583648
831	3.004867506
832	3.00173633
833	2.999460607
834	2.999363058
835	2.998726142
836	2.99785372
837	2.994370002
838	2.994075113
839	2.989747516
840	2.987685128
841	2.98618178
842	2.983869162
843	2.981556649
844	2.981046382
845	2.980875087
846	2.97844696
847	2.976458403
848	2.975472637
849	2.974109811
850	2.972426914
851	2.968649455
852	2.967232273
853	2.963601778
854	2.95998317
855	2.959481395
856	2.957137614
857	2.955498595
858	2.954358435
859	2.952509569
860	2.952215147
861	2.949248801
862	2.948615137
863	2.947392533
864	2.945626628
865	2.942592168
866	2.941583837
867	2.939801672
868	2.938500973
869	2.937082502
870	2.936920852
871	2.935029781
872	2.934282638
873	2.930886058
874	2.929010284
875	2.927215842
876	2.926525873
877	2.925460055
878	2.925060141
879	2.923345367
880	2.920964684
881	2.919029201
882	2.91641624
883	2.91524243
884	2.914166499
885	2.913178109
886	2.910747155
887	2.909666481
888	2.908585417
889	2.906076256
890	2.903664679
891	2.900953846
892	2.898737837
893	2.894786103
894	2.893351673
895	2.893228745
896	2.892873839
897	2.891933026
898	2.890161817
899	2.889872216
900	2.888721098
901	2.887413701
902	2.886849366
903	2.885252922
904	2.883851903
905	2.883125173
906	2.881464874
907	2.880424787
908	2.877475354
909	2.876357166
910	2.874189904
911	2.873263515
912	2.873052993
913	2.872113208
914	2.871817002
915	2.87048574
916	2.867872656
917	2.866881407
918	2.863081653
919	2.860721833
920	2.85936148
921	2.858093642
922	2.856131638
923	2.855321287
924	2.853730726
925	2.852932784
926	2.852007224
927	2.85055452
928	2.849704472
929	2.848390164
930	2.84716889
931	2.846891844
932	2.844883072
933	2.841224576
934	2.839170685
935	2.837846034
936	2.837698381
937	2.834859748
938	2.831877848
939	2.830246304
940	2.830156456
941	2.827068826
942	2.825799089
943	2.824918577
944	2.824323413
945	2.820687266
946	2.819234223
947	2.817132904
948	2.815807735
949	2.813658367
950	2.810850589
951	2.80835054
952	2.804714735
953	2.8040748
954	2.802330586
955	2.800013491
956	2.797217436
957	2.795122145
958	2.793790941
959	2.792813556
960	2.79101702
961	2.790058383
962	2.788312396
963	2.786752237
964	2.783969323
965	2.781900752
966	2.779896725
967	2.777742548
968	2.775436254
969	2.774385994
970	2.77276046
971	2.770910456
972	2.768905193
973	2.76722221
974	2.766573935
975	2.763756305
976	2.762610223
977	2.760311222
978	2.75962455
979	2.757240158
980	2.75612374
981	2.754960983
982	2.75492354
983	2.753659546
984	2.752621254
985	2.750640122
986	2.748834256
987	2.747824783
988	2.746402165
989	2.744676877
990	2.742794542
991	2.741240398
992	2.740530577
993	2.739218428
994	2.737679173
995	2.736521947
996	2.735441738
997	2.732861771
998	2.73139315
999	2.729602626
